Apple Inc. Common Stock	AAPL
1895 Bancorp of Wisconsin Inc. Common Stock	BCOW
JAKKS Pacific Inc. Common Stock	JAKK
Alimera Sciences Inc. Common Stock	ALIM
CN Energy Group Inc. Ordinary Shares	CNEY
Delaware Investments Colorado Municipal Income Fund Inc Common Stock	VCF
Windtree Therapeutics Inc. Common Stock	WINT
InnSuites Hospitality Trust Shares of Beneficial Interest	IHT
AmeriServ Financial Inc. Common Stock	ASRV
Neonode Inc. Common Stock	NEON
Advaxis Inc. Common Stock	ADXS
Trinity Biotech plc American Depositary Shares	TRIB
Salem Media Group Inc. Class A Common Stock	SALM
Ark Restaurants Corp. Common Stock	ARKR
Delcath Systems Inc. Common Stock	DCTH
Sypris Solutions Inc. Common Stock	SYPR
Nuveen Multi-Market Income Fund (MA)	JMM
Village Bank and Trust Financial Corp. Common Stock	VBFC
Akari Therapeutics plc ADR (0.01 USD)	AKTX
Leisure Acquisition Corp. Common Stock	LACQ
First US Bancshares Inc. Common Stock	FUSB
Ideal Power Inc. Common Stock	IPWR
ALJ Regional Holdings Inc. Common Stock	ALJJ
NeuroBo Pharmaceuticals Inc. Common Stock	NRBO
Capitala Finance Corp. Common Stock	CPTA
Ocuphire Pharma Inc. Common Stock	OCUP
Ekso Bionics Holdings Inc. Common Stock	EKSO
Hennessy Advisors Inc. Common Stock	HNNA
Willamette Valley Vineyards Inc. Series A Redeemable Preferred Stock	WVVIP
Willamette Valley Vineyards Inc. Common Stock	WVVI
Aridis Pharmaceuticals Inc. Common Stock	ARDS
AzurRx BioPharma Inc. Common Stock	AZRX
Canterbury Park Holding Corporation 'New' Common Stock	CPHC
GEE Group Inc. Common Stock	JOB
Neuberger Berman New York Municipal Fund Inc. Common Stock	NBO
Allena Pharmaceuticals Inc. Common Stock	ALNA
Air T Inc. Air T Funding Alpha Income Trust Preferred Securities	AIRTP
Air T Inc. Common Stock	AIRT
My Size Inc. Common Stock	MYSZ
Flanigan's Enterprises Inc. Common Stock	BDL
Huadi International Group Co. Ltd. Ordinary Shares	HUDI
Idera Pharmaceuticals Inc. Common Stock	IDRA
Vaccinex Inc. Common Stock	VCNX
Communications Systems Inc. Common Stock	JCS
Manhattan Bridge Capital Inc	LOAN
Navios Maritime Acquisition Corporation Common stock	NNA
Baudax Bio Inc. Common Stock	BXRX
TOP Ships Inc. Common Stock	TOPS
Universe Pharmaceuticals Inc. Ordinary Shares	UPC
Dolphin Entertainment Inc. Common Stock	DLPN
EuroDry Ltd. Common Shares	EDRY
Aehr Test Systems Common Stock	AEHR
Cushing MLP & Infrastructure Total Return Fund	SRV
FlexShopper Inc. Common Stock	FPAY
Research Solutions Inc Common Stock	RSSS
MIND C.T.I. Ltd. Ordinary Shares	MNDO
China Recycling Energy Corporation Common Stock	CREG
Greenlane Holdings Inc. Class A Common Stock	GNLN
TESSCO Technologies Incorporated Common Stock	TESS
Deswell Industries Inc. Common Shares	DSWL
Delaware Investments National Municipal Income Fund Common Stock	VFL
Dare Bioscience Inc. Common Stock	DARE
L.S. Starrett Company (The) Common Stock	SCX
TuanChe Limited American Depositary Shares	TC
Ion Geophysical Corporation Common Stock	IO
Cyclacel Pharmaceuticals Inc. 6% Convertible Preferred Stock	CYCCP
Cyclacel Pharmaceuticals Inc. Common Stock	CYCC
PIMCO New York Municipal Income Fund III Common Shares of Beneficial Interest	PYN
Kiromic BioPharma Inc. Common Stock	KRBP
First Trust Specialty Finance and Financial Opportunities Fund	FGB
NuZee Inc. Common Stock	NUZE
Chembio Diagnostics Inc. Common Stock	CEMI
Mercurity Fintech Holding Inc. ADS	MFH
WidePoint Corporation Common Stock	WYY
China Xiangtai Food Co. Ltd. Ordinary Shares	PLIN
Brilliant Acquisition Corporation Ordinary Shares	BRLI
Brilliant Acquisition Corporation Unit	BRLIU
Birks Group Inc. Common Stock	BGI
Origin Agritech Limited Common Stock	SEED
Ace Global Business Acquisition Limited Unit	ACBAU
Ace Global Business Acquisition Limited Ordinary Shares	ACBA
VirTra Inc. Common Stock	VTSI
TIAN RUIXIANG Holdings Ltd Class A Ordinary Shares	TIRX
Organovo Holdings Inc. Common Stock	ONVO
SIFCO Industries Inc. Common Stock	SIF
Trinity Place Holdings Inc. Common Stock	TPHS
Taoping Inc. Ordinary Shares	TAOP
Venus Acquisition Corporation Ordinary Shares	VENA
Venus Acquisition Corporation Units	VENAU
Qualigen Therapeutics Inc. Common Stock	QLGN
Powerbridge Technologies Co. Ltd. Ordinary Shares	PBTS
Novo Integrated Sciences Inc. Common Stock	NVOS
Astrotech Corporation (DE) Common Stock	ASTC
Blackrock Enhanced Government Fund Inc. Common Stock	EGF
Cross Timbers Royalty Trust Common Stock	CRT
New Ireland Fund Inc (The) Common Stock	IRL
China Natural Resources Inc. Common Stock	CHNR
Intec Pharma Ltd. Ordinary Shares	NTEC
Brookline Capital Acquisition Corp. Common Stock	BCAC
Brookline Capital Acquisition Corp. Units	BCACU
LGL Group Inc. (The) Common Stock	LGL
Arcadia Biosciences Inc. Common Stock	RKDA
ToughBuilt Industries Inc. Common Stock	TBLT
J. W. Mays Inc. Common Stock	MAYS
Datasea Inc. Common Stock	DTSS
MingZhu Logistics Holdings Limited Ordinary Shares	YGMZ
Kaspien Holdings Inc. Common Stock	KSPN
Permianville Royalty Trust Trust Units	PVL
Dawson Geophysical Company Common Stock	DWSN
Home Federal Bancorp Inc. of Louisiana Common StocK	HFBL
Biocept Inc. Common Stock	BIOC
Brickell Biotech Inc. Common Stock	BBI
MFS Intermediate High Income Fund Common Stock	CIF
Genetic Technologies Ltd Sponsored ADR	GENE
Global Self Storage Inc. Common Stock	SELF
India Globalization Capital Inc. Common Stock	IGC
PLUS THERAPEUTICS Inc. Common Stock	PSTV
Kentucky First Federal Bancorp Common Stock	KFFB
IMAC Holdings Inc. Common Stock	IMAC
Perma-Pipe International Holdings Inc. Common Stock	PPIH
AGBA Acquisition Limited Ordinary Share	AGBA
Sotherly Hotels Inc. 8.0% Series B Cumulative Redeemable Perpetual Preferred Stock	SOHOB
Sotherly Hotels Inc. Common Stock	SOHO
Sotherly Hotels Inc. 8.25% Series D Cumulative Redeemable Perpetual Preferred Stock	SOHON
Sotherly Hotels Inc. 7.875% Series C Cumulative Redeemable Perpetual Preferred Stock	SOHOO
Sensus Healthcare Inc. Common Stock	SRTS
Harvest Capital Credit Corporation Common Stock	HCAP
First Seacoast Bancorp Common Stock	FSEA
Asia Pacific Wire & Cable Corporation Ltd. Ordinary Shares (Bermuda)	APWC
Alterity Therapeutics Limited American Depositary Shares	ATHE
ZW Data Action Technologies Inc. Common Stock	CNET
Net Element Inc. Common Stock	NETE
Myomo Inc. Common Stock	MYO
Condor Hospitality Trust Inc. Common Stock	CDOR
Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares	AMBO
Teligent Inc. Common Stock	TLGT
MoSys Inc. Common Stock	MOSY
North European Oil Royality Trust Common Stock	NRT
Virco Manufacturing Corporation Common Stock	VIRC
SeaChange International Inc. Common Stock	SEAC
AnPac Bio-Medical Science Co. Ltd. American Depositary Shares	ANPC
Nuveen New York Select Tax-Free Income Portfolio Common Stock	NXN
Monaker Group Inc. Common Stock	MKGI
EZGO Technologies Ltd. Ordinary Shares	EZGO
Jianpu Technology Inc. American depositary shares	JT
AgeX Therapeutics Inc. Common Stock	AGE
Pulmatrix Inc. Common Stock	PULM
Opiant Pharmaceuticals Inc. Common Stock	OPNT
Profire Energy Inc. Common Stock	PFIE
Salarius Pharmaceuticals Inc. Common Stock	SLRX
Cyclo Therapeutics Inc. Common Stock	CYTH
Motus GI Holdings Inc. Common Stock	MOTS
Income Opportunity Realty Investors Inc. Common Stock	IOR
Sino-Global Shipping America Ltd. Common Stock	SINO
ECMOHO Limited American Depositary Shares	MOHO
ATIF Holdings Limited Ordinary Shares	ATIF
Greencity Acquisition Corporation Ordinary Shares	GRCY
Greencity Acquisition Corporation Unit	GRCYU
CYREN Ltd. Ordinary Shares	CYRN
Summit Wireless Technologies Inc. Common Stock	WISA
MEDIROM Healthcare Technologies Inc. American Depositary Share	MRM
Mannatech Incorporated Common Stock	MTEX
Inhibikase Therapeutics Inc. Common Stock	IKT
Data I/O Corporation Common Stock	DAIO
Goldenbridge Acquisition Limited Unit	GBRGU
Goldenbridge Acquisition Limited Ordinary Shares	GBRG
Kintara Therapeutics Inc. Common Stock	KTRA
Microbot Medical Inc. Common Stock	MBOT
Jupiter Wellness Inc. Common Stock	JUPW
Good Times Restaurants Inc. Common Stock	GTIM
Hancock Jaffe Laboratories Inc. Common Stock	HJLI
CSP Inc. Common Stock	CSPI
CNS Pharmaceuticals Inc. Common Stock	CNSP
TAT Technologies Ltd. Ordinary Shares	TATT
NetSol Technologies Inc. Common Stock	NTWK
UTStarcom Holdings Corp.	UTSI
Navidea Biopharmaceuticals Inc. Common Stock	NAVB
Alberton Acquisition Corporation Ordinary Shares	ALAC
ARCA biopharma Inc. Common Stock	ABIO
Comstock Holding Companies Inc. Class A Common Stock	CHCI
Forward Pharma A/S American Depositary Shares	FWP
CBM Bancorp Inc. Common Stock	CBMB
Daxor Corporation Common Stock	DXR
ICC Holdings Inc. Common Stock	ICCH
Jupai Holdings Limited American Depositary Shares each representing six ordinary shares	JP
Enveric Biosciences Inc. Common Stock	ENVB
RiceBran Technologies Common Stock	RIBT
AirNet Technology Inc. American Depositary Shares	ANTE
Harbor Custom Development Inc. Common Stock	HCDI
Hudson Global Inc. Common Stock	HSON
IT Tech Packaging Inc. Common Stock	ITP
Tremont Mortgage Trust Common Shares of Beneficial Interest	TRMT
iFresh Inc. Common Stock	IFMK
Amplitech Group Inc. Common Stock	AMPG
Crown Electrokinetics Corp. Common Stock	CRKN
Dogness (International) Corporation Class A Common Stock	DOGZ
Elmira Savings Bank Elmira NY Common Stock	ESBK
Mid-Southern Bancorp Inc. Common Stock	MSVB
MFS Special Value Trust Common Stock	MFV
Socket Mobile Inc. Common Stock	SCKT
Senmiao Technology Limited Common Stock	AIHS
Nabriva Therapeutics plc Ordinary Shares Ireland	NBRV
Rand Capital Corporation Common Stock	RAND
Globus Maritime Limited Common Stock	GLBS
China HGS Real Estate Inc. Common Stock	HGSH
Amesite Inc. Common Stock	AMST
Strata Skin Sciences Inc. Common Stock	SSKN
Catabasis Pharmaceuticals Inc. Common Stock	CATB
Wheeler Real Estate Investment Trust Inc. Series D Cumulative Preferred Stock	WHLRD
Wheeler Real Estate Investment Trust Inc. Common Stock	WHLR
Wheeler Real Estate Investment Trust Inc. Class B Preferred Stock	WHLRP
CPI Aerostructures Inc. Common Stock	CVU
Adial Pharmaceuticals Inc Common Stock	ADIL
Nxt-ID Inc. Common Stock	NXTD
BriaCell Therapeutics Corp. Common Shares	BCTX
Xcel Brands Inc. Common Stock	XELB
ClearOne Inc. (DE) Common Stock	CLRO
Image Sensing Systems Inc. Common Stock	ISNS
TOMI Environmental Solutions Inc. Common Stock	TOMZ
Andina Acquisition Corp. III Ordinary Shares	ANDA
Virios Therapeutics Inc. Common Stock	VIRI
Biomerica Inc. Common Stock	BMRA
Timber Pharmaceuticals Inc. Common Stock	TMBR
China XD Plastics Company Limited Common Stock	CXDC
Blue Hat Interactive Entertainment Technology Ordinary Shares	BHAT
INVO BioScience Inc. Common Stock	INVO
Puhui Wealth Investment Management Co. Ltd. Ordinary Shares	PHCF
Kelso Technologies Inc Ordinary Shares	KIQ
Auris Medical Holding Ltd. Common Shares 0.01 SF (Bermuda)	EARS
HV Bancorp Inc. Common Stock	HVBC
Happiness Biotech Group Limited Ordinary Shares	HAPP
Tantech Holdings Ltd. Common Stock	TANH
Urban Tea Inc. Ordinary Shares	MYT
BiondVax Pharmaceuticals Ltd. American Depositary Shares	BVXV
Zhongchao Inc. Class A Ordinary Shares	ZCMD
Cumberland Pharmaceuticals Inc. Common Stock	CPIX
Lightbridge Corporation Common Stock	LTBR
Applied DNA Sciences Inc. Common Stock	APDN
Reliance Global Group Inc. Common Stock	RELI
Soligenix Inc. Common Stock	SNGX
Bellerophon Therapeutics Inc. Common Stock	BLPH
NanoViricides Inc. Common Stock	NNVC
Acer Therapeutics Inc. Common Stock (DE)	ACER
Indonesia Energy Corporation Limited Ordinary Shares	INDO
FG Financial Group Inc. 8.00% Cumulative Preferred Stock	FGFPP
FG Financial Group Inc. Common Stock	FGF
Four Seasons Education (Cayman) Inc. American Depositary Shares each two ADSs representing one ordinary share	FEDU
Dixie Group Inc. (The) Common Stock	DXYN
Impac Mortgage Holdings Inc. Common Stock	IMH
Solitario Zinc Corp. Common Stock	XPL
Sigma Labs Inc. Common Stock	SGLB
Evolve Transition Infrastructure LP Common Stock	SNMP
Trevi Therapeutics Inc. Common Stock	TRVI
InspireMD Inc. Common Stock	NSPR
Elite Education Group International Ltd. Common Stock	EEIQ
Evoke Pharma Inc. Common Stock	EVOK
Flexible Solutions International Inc. Common Stock (CDA)	FSI
BK Technologies Corporation Common Stock	BKTI
China Liberal Education Holdings Limited Ordinary Shares	CLEU
Alset EHome International Inc. Common Stock	AEI
Cincinnati Bancorp Inc. Common Stock	CNNB
Panbela Therapeutics Inc. Common Stock	PBLA
Taylor Devices Inc. Common Stock	TAYD
Presidio Property Trust Inc. Class A Common Stock	SQFT
Rocky Mountain Chocolate Factory Inc. Common Stock	RMCF
ADiTx Therapeutics Inc. Common Stock	ADTX
MMTec Inc. Common Shares	MTC
Integrated Media Technology Limited Ordinary Shares	IMTE
Espey Mfg. & Electronics Corp. Common Stock	ESP
China Jo-Jo Drugstores Inc. Common Stock	CJJD
Yield10 Bioscience Inc. Common Stock	YTEN
SiNtx Technologies Inc. Common Stock	SINT
NLS Pharmaceutics Ltd. Ordinary Shares	NLSP
Bio-Path Holdings Inc. Common Stock	BPTH
RCM Technologies Inc. Common Stock	RCMT
Lixte Biotechnology Holdings Inc. Common Stock	LIXT
Pintec Technology Holdings Limited American Depositary Shares	PT
Wireless Telecom Group Inc. Common Stock	WTT
Air Industries Group Common Stock	AIRI
Creatd Inc. Common Stock	CRTD
BioHiTech Global Inc. Common Stock	BHTG
Paramount Gold Nevada Corp. Common Stock	PZG
Herzfeld Caribbean Basin Fund Inc. (The) Common Stock	CUBA
Guardion Health Sciences Inc. Common Stock	GHSI
The OLB Group Inc. Common Stock	OLB
A.H. Belo Corporation (TX) Common Stock	AHC
SilverSun Technologies Inc. Common Stock	SSNT
Newater Technology Inc. Ordinary Shares	NEWA
Eastside Distilling Inc. Common Stock	EAST
Patriot Transportation Holding Inc. Common Stock	PATI
Firsthand Technology Value Fund Inc. Common Stock	SVVC
Iconix Brand Group Inc. Common Stock	ICON
AutoWeb Inc. Common Stock	AUTO
Nuverra Environmental Solutions Inc. Common Stock	NES
ALFI Inc. Common Stock	ALF
Protagenic Therapeutics Inc. Common Stock	PTIX
Hoth Therapeutics Inc. Common Stock	HOTH
Eltek Ltd. Ordinary Shares	ELTK
Benitec Biopharma Inc. Common Stock	BNTC
Psychemedics Corporation	PMD
Pioneer Power Solutions Inc. Common Stock	PPSI
Siyata Mobile Inc. Common Shares	SYTA
Immuron Limited American Depositary Shares	IMRN
Eagle Capital Growth Fund Inc. Common Stock	GRF
Histogen Inc. Common Stock	HSTO
Carver Bancorp Inc. Common Stock	CARV
GBS Inc. Common Stock	GBS
GSE Systems Inc. Common Stock	GVP
Lexaria Bioscience Corp. Common Stock	LEXX
Taitron Components Incorporated Class A Common Stock	TAIT
Ever-Glory International Group Inc. Common Stock	EVK
Nuveen Missouri Quality Municipal Income Fund	NOM
Zivo Bioscience Inc. Common Stock	ZIVO
Altisource Asset Management Corp Com	AAMC
Duos Technologies Group Inc. Common Stock	DUOT
Coffee Holding Co. Inc. Common Stock	JVA
Cuentas Inc. Common Stock	CUEN
Glen Burnie Bancorp Common Stock	GLBZ
Acorda Therapeutics Inc. Common Stock	ACOR
Jewett-Cameron Trading Company Common Shares	JCTCF
GreenVision Acquisition Corp Common stock	GRNV
BSQUARE Corporation Common Stock	BSQR
InMed Pharmaceuticals Inc. Common Shares	INM
Dunxin Financial Holdings Limited American Depositary Shares	DXF
Neovasc Inc. Common Shares	NVCN
GigaMedia Limited Ordinary Shares	GIGM
Unique Fabricating Inc. Common Stock	UFAB
Bonso Electronics International Inc. Common Stock	BNSO
ThermoGenesis Holdings Inc. Common Stock	THMO
Pyxis Tankers Inc. Common Stock	PXS
Pyxis Tankers Inc. 7.75% Series A Cumulative Convertible Preferred Shares	PXSAP
BOQI International Medical Inc. Common Stock	BIMI
Sonim Technologies Inc. Common Stock	SONM
China Pharma Holdings Inc. Common Stock	CPHI
Planet Green Holdings Corp. Common Stock	PLAG
Patriot National Bancorp Inc. Common Stock	PNBK
BIO-key International Inc. Common Stock	BKYI
Kewaunee Scientific Corporation Common Stock	KEQU
Obalon Therapeutics Inc. Common Stock	OBLN
Sonnet BioTherapeutics Holdings Inc. Common Stock	SONN
GeoVax Labs Inc. Common Stock	GOVX
WVS Financial Corp. Common Stock	WVFC
SPAR Group Inc. Common Stock	SGRP
Eyegate Pharmaceuticals Inc. Common Stock	EYEG
Trxade Group Inc. Common Stock	MEDS
ADDvantage Technologies Group Inc. Common Stock	AEY
Helius Medical Technologies Inc. Class A Common Stock (DE)	HSDT
SG Blocks Inc. Common Stock	SGBX
Wah Fu Education Group Limited Ordinary Shares	WAFU
PainReform Ltd. Ordinary Shares	PRFX
NovaBay Pharmaceuticals Inc. Common Stock	NBY
Ossen Innovation Co. Ltd. American Depositary Shares	OSN
Tenax Therapeutics Inc. Common Stock	TENX
Cohen & Company Inc.	COHN
Petros Pharmaceuticals Inc. Common Stock	PTPI
Cypress Environmental Partners L.P. Common Units representing limited partner interests	CELP
CVD Equipment Corporation Common Stock	CVV
Gaucho Group Holdings Inc. Common Stock	VINO
Viveve Medical Inc. Common Stock	VIVE
Skillful Craftsman Education Technology Limited Ordinary Share	EDTK
MIND Technology Inc. Series A 9.00% Series A Cumulative Preferred Stock (DE)	MINDP
MIND Technology Inc. Common Stock (DE)	MIND
BlackRock Virginia Municipal Bond Trust	BHV
Nuwellis Inc. Common Stock	NUWE
Phio Pharmaceuticals Corp. Common Stock	PHIO
Summer Infant Inc. Common Stock	SUMR
ReTo Eco-Solutions Inc. Common Shares	RETO
Mediaco Holding Inc. Class A Common Stock	MDIA
Auddia Inc. Common Stock	AUUD
Palisade Bio Inc. Common Stock	PALI
Artelo Biosciences Inc. Common Stock	ARTL
Cemtrex Inc. Series 1 Preferred Stock	CETXP
Cemtrex Inc. Common Stock	CETX
Vallon Pharmaceuticals Inc. Common Stock	VLON
Forward Industries Inc. Common Stock	FORD
Shineco Inc. Common Stock	TYHT
Barnwell Industries Inc. Common Stock	BRN
Wilhelmina International Inc. Common Stock	WHLM
Rave Restaurant Group Inc. Common Stock	RAVE
Aethlon Medical Inc. Common Stock	AEMD
Performance Shipping Inc. Common Shares	PSHG
Xiaobai Maimai Inc. ADR	HX
Medley Management Inc. Class A Common Stock	MDLY
Conifer Holdings Inc. 6.75% Senior Unsecured Notes due 2023	CNFRL
Conifer Holdings Inc. Common Stock	CNFR
National Security Group Inc. Common Stock	NSEC
New Concept Energy Inc Common Stock	GBR
Independence Contract Drilling Inc. Common Stock	ICD
Fuwei Films (Holdings) Co. Ltd. Ordinary Shares	FFHL
SuperCom Ltd. Ordinary Shares (Israel)	SPCB
Emerson Radio Corporation Common Stock	MSN
Millendo Therapeutics Inc. Common Stock	MLND
HTG Molecular Diagnostics Inc. Common Stock	HTGM
CKX Lands Inc. Common Stock	CKX
Equus Total Return Inc. Common Stock	EQS
Titan Pharmaceuticals Inc. Common Stock	TTNP
VerifyMe Inc. Common Stock	VRME
Generations Bancorp NY Inc. Common Stock	GBNY
Data Storage Corporation Common Stock	DTST
China Finance Online Co. Limited American Depositary Shares	JRJC
Evolving Systems Inc. Common Stock	EVOL
Rubicon Technology Inc. Common Stock	RBCN
SunLink Health Systems Inc. Common Stock	SSY
Abraxas Petroleum Corporation Common Stock	AXAS
